servicedate,line,estimated_boardings
2023-04-24,Kingston,5981
2023-04-24,Lowell,6346
2023-04-24,Middleborough/Lakeville,6310
2023-04-24,Needham,5158
2023-04-24,Newburyport/Rockport,8783
2023-04-24,Providence/Stoughton,18082
2023-04-25,Fairmount,2339
2023-04-25,Fitchburg,5281
2023-04-25,Framingham/Worcester,12158
2023-04-25,Franklin/Foxboro,8652
2023-04-25,Greenbush,4256
2023-04-25,Haverhill,5426
2023-04-25,Kingston,6708
2023-04-25,Lowell,6829
2023-04-25,Middleborough/Lakeville,7796
2023-04-25,Needham,6373
2023-04-25,Newburyport/Rockport,9682
2023-04-25,Providence/Stoughton,19626
2023-04-26,Fairmount,2559
2023-04-26,Fitchburg,5431
2023-04-26,Framingham/Worcester,12109
2023-04-26,Franklin/Foxboro,9234
2023-04-26,Greenbush,4527
2023-04-26,Haverhill,5446
2023-04-26,Kingston,5279
2023-04-26,Lowell,7291
2023-04-26,Middleborough/Lakeville,7671
2023-04-26,Needham,5915
2023-04-26,Newburyport/Rockport,9256
2023-04-26,Providence/Stoughton,19744
2023-04-27,Fairmount,2432
2023-04-27,Fitchburg,5317
2023-04-27,Framingham/Worcester,11926
2023-04-27,Franklin/Foxboro,9020
2023-04-27,Greenbush,4384
2023-04-27,Haverhill,5670
2023-04-27,Kingston,6410
2023-04-27,Lowell,6650
2023-04-27,Middleborough/Lakeville,6518
2023-04-27,Needham,6260
2023-04-27,Newburyport/Rockport,9139
2023-04-27,Providence/Stoughton,20375
2023-04-28,Fairmount,2620
2023-04-28,Fitchburg,4459
2023-04-28,Framingham/Worcester,10047
2023-04-28,Franklin/Foxboro,6731
2023-04-28,Greenbush,3924
2023-04-28,Haverhill,4942
2023-04-28,Kingston,5531
2023-04-28,Lowell,6108
2023-04-28,Middleborough/Lakeville,5775
2023-04-28,Needham,5224
2023-04-28,Newburyport/Rockport,8624
2023-04-28,Providence/Stoughton,17332
2023-04-29,Fairmount,756
2023-04-29,Fitchburg,1969
2023-04-29,Framingham/Worcester,6100
2023-04-29,Franklin/Foxboro,1776
2023-04-29,Greenbush,918
2023-04-29,Haverhill,747
2023-04-29,Kingston,1123
2023-04-29,Lowell,2509
2023-04-29,Middleborough/Lakeville,1897
2023-04-29,Needham,1208
2023-04-29,Newburyport/Rockport,5549
2023-04-29,Providence/Stoughton,6967
2023-04-30,Fairmount,448
2023-04-30,Fitchburg,1297
2023-04-30,Framingham/Worcester,3785
2023-04-30,Franklin/Foxboro,1197
2023-04-30,Greenbush,806
2023-04-30,Haverhill,775
2023-04-30,Kingston,1386
2023-04-30,Lowell,2142
2023-04-30,Middleborough/Lakeville,1282
2023-04-30,Needham,567
2023-04-30,Newburyport/Rockport,3806
2023-04-30,Providence/Stoughton,4762
2023-05-01,Fairmount,2570
2023-05-01,Fitchburg,5456
2023-05-01,Framingham/Worcester,11530
2023-05-01,Franklin/Foxboro,7897
2023-05-01,Greenbush,4597
2023-05-01,Haverhill,5226
2023-05-01,Kingston,6174
2023-05-01,Lowell,5871
2023-05-01,Middleborough/Lakeville,7117
2023-05-01,Needham,5565
2023-05-01,Newburyport/Rockport,9216
2023-05-01,Providence/Stoughton,18253
2023-05-02,Fairmount,2805
2023-05-02,Fitchburg,5343
2023-05-02,Framingham/Worcester,12499
2023-05-02,Franklin/Foxboro,9877
2023-05-02,Greenbush,4864
2023-05-02,Haverhill,5162
2023-05-02,Kingston,6482
2023-05-02,Lowell,6510
2023-05-02,Middleborough/Lakeville,7297
2023-05-02,Needham,6300
2023-05-02,Newburyport/Rockport,9236
2023-05-02,Providence/Stoughton,20007
2023-05-03,Fairmount,3034
2023-05-03,Fitchburg,5622
2023-05-03,Framingham/Worcester,12435
2023-05-03,Franklin/Foxboro,9173
2023-05-03,Greenbush,4887
2023-05-03,Haverhill,5291
2023-05-03,Kingston,6505
2023-05-03,Lowell,6881
2023-05-03,Middleborough/Lakeville,6711
2023-05-03,Needham,6228
2023-05-03,Newburyport/Rockport,8964
2023-05-03,Providence/Stoughton,21376
2023-05-04,Fairmount,2554
2023-05-04,Fitchburg,5071
2023-05-04,Framingham/Worcester,12008
2023-05-04,Franklin/Foxboro,9378
2023-05-04,Greenbush,4761
2023-05-04,Haverhill,5096
2023-05-04,Kingston,5588
2023-05-04,Lowell,6008
2023-05-04,Middleborough/Lakeville,7222
2023-05-04,Needham,5873
2023-05-04,Newburyport/Rockport,8868
2023-05-04,Providence/Stoughton,19554
2023-05-05,Fairmount,2657
2023-05-05,Fitchburg,4601
2023-05-05,Framingham/Worcester,10390
2023-05-05,Franklin/Foxboro,6706
2023-05-05,Greenbush,4392
2023-05-05,Haverhill,4996
2023-05-05,Kingston,5187
2023-05-05,Lowell,5446
2023-05-05,Middleborough/Lakeville,5735
2023-05-05,Needham,4933
2023-05-05,Newburyport/Rockport,8126
2023-05-05,Providence/Stoughton,16790
2023-05-06,Fairmount,774
2023-05-06,Fitchburg,2162
2023-05-06,Framingham/Worcester,6425
2023-05-06,Franklin/Foxboro,1912
2023-05-06,Greenbush,978
2023-05-06,Haverhill,665
2023-05-06,Kingston,1318
2023-05-06,Lowell,1847
2023-05-06,Middleborough/Lakeville,1870
2023-05-06,Needham,1224
2023-05-06,Newburyport/Rockport,4573
2023-05-06,Providence/Stoughton,6127
2023-05-07,Fairmount,454
2023-05-07,Fitchburg,1463
2023-05-07,Framingham/Worcester,4211
2023-05-07,Franklin/Foxboro,1639
2023-05-07,Greenbush,811
2023-05-07,Haverhill,713
2023-05-07,Kingston,1172
2023-05-07,Lowell,1892
2023-05-07,Middleborough/Lakeville,1648
2023-05-07,Needham,621
2023-05-07,Newburyport/Rockport,3930
2023-05-07,Providence/Stoughton,5383
2023-05-08,Fairmount,3053
2023-05-08,Fitchburg,4756
2023-05-08,Framingham/Worcester,11815
2023-05-08,Franklin/Foxboro,8811
2023-05-08,Greenbush,4208
2023-05-08,Haverhill,5925
2023-05-08,Kingston,5189
2023-05-08,Lowell,5968
2023-05-08,Middleborough/Lakeville,7216
2023-05-08,Needham,5131
2023-05-08,Newburyport/Rockport,8668
2023-05-08,Providence/Stoughton,19226
2023-05-09,Fairmount,3094
2023-05-09,Fitchburg,5340
2023-05-09,Framingham/Worcester,13739
2023-05-09,Franklin/Foxboro,9623
2023-05-09,Greenbush,4792
2023-05-09,Haverhill,5944
2023-05-09,Kingston,6178
2023-05-09,Lowell,6613
2023-05-09,Middleborough/Lakeville,6511
2023-05-09,Needham,5531
2023-05-09,Newburyport/Rockport,9523
2023-05-09,Providence/Stoughton,20523
2023-05-10,Fairmount,2807
2023-05-10,Fitchburg,4847
2023-05-10,Framingham/Worcester,13838
2023-05-10,Franklin/Foxboro,9829
2023-05-10,Greenbush,4578
2023-05-10,Haverhill,5582
2023-05-10,Kingston,6569
2023-05-10,Lowell,5965
2023-05-10,Middleborough/Lakeville,7395
2023-05-10,Needham,5904
2023-05-10,Newburyport/Rockport,8790
2023-05-10,Providence/Stoughton,20809
2023-05-11,Fairmount,3009
2023-05-11,Fitchburg,5373
2023-05-11,Framingham/Worcester,14308
2023-05-11,Franklin/Foxboro,9496
2023-05-11,Greenbush,4887
2023-05-11,Haverhill,6031
2023-05-11,Kingston,5805
2023-05-11,Lowell,6566
2023-05-11,Middleborough/Lakeville,6906
2023-05-11,Needham,5911
2023-05-11,Newburyport/Rockport,9434
2023-05-11,Providence/Stoughton,20249
2023-05-12,Fairmount,3264
2023-05-12,Fitchburg,4714
2023-05-12,Framingham/Worcester,12094
2023-05-12,Franklin/Foxboro,8903
2023-05-12,Greenbush,3767
2023-05-12,Haverhill,5172
2023-05-12,Kingston,4004
2023-05-12,Lowell,5785
2023-05-12,Middleborough/Lakeville,5760
2023-05-12,Needham,5569
2023-05-12,Newburyport/Rockport,9204
2023-05-12,Providence/Stoughton,18482
2023-05-13,Fairmount,818
2023-05-13,Fitchburg,2388
2023-05-13,Framingham/Worcester,6792
2023-05-13,Franklin/Foxboro,2061
2023-05-13,Greenbush,531
2023-05-13,Haverhill,1063
2023-05-13,Kingston,1124
2023-05-13,Lowell,2533
2023-05-13,Middleborough/Lakeville,1848
2023-05-13,Needham,842
2023-05-13,Newburyport/Rockport,6384
2023-05-13,Providence/Stoughton,6754
2023-05-14,Fairmount,415
2023-05-14,Fitchburg,1557
2023-05-14,Framingham/Worcester,3244
2023-05-14,Franklin/Foxboro,1648
2023-05-14,Greenbush,644
2023-05-14,Haverhill,1021
2023-05-14,Kingston,1050
2023-05-14,Lowell,2585
2023-05-14,Middleborough/Lakeville,1687
2023-05-14,Needham,532
2023-05-14,Newburyport/Rockport,5805
2023-05-14,Providence/Stoughton,6509
2023-05-15,Fairmount,2876
2023-05-15,Fitchburg,4958
2023-05-15,Framingham/Worcester,13379
2023-05-15,Franklin/Foxboro,8596
2023-05-15,Greenbush,4563
2023-05-15,Haverhill,5665
2023-05-15,Kingston,5156
2023-05-15,Lowell,5984
2023-05-15,Middleborough/Lakeville,6049
2023-05-15,Needham,6014
2023-05-15,Newburyport/Rockport,8405
2023-05-15,Providence/Stoughton,18718
2023-05-16,Fairmount,2970
2023-05-16,Fitchburg,5589
2023-05-16,Framingham/Worcester,15415
2023-05-16,Franklin/Foxboro,9312
2023-05-16,Greenbush,4100
2023-05-16,Haverhill,6194
2023-05-16,Kingston,5921
2023-05-16,Lowell,7051
2023-05-16,Middleborough/Lakeville,6339
2023-05-16,Needham,6107
2023-05-16,Newburyport/Rockport,9975
2023-05-16,Providence/Stoughton,20628
2023-05-17,Fairmount,3119
2023-05-17,Fitchburg,5812
2023-05-17,Framingham/Worcester,14422
2023-05-17,Franklin/Foxboro,9298
2023-05-17,Greenbush,4659
2023-05-17,Haverhill,6067
2023-05-17,Kingston,6320
2023-05-17,Lowell,7468
2023-05-17,Middleborough/Lakeville,7233
2023-05-17,Needham,5881
2023-05-17,Newburyport/Rockport,10113
2023-05-17,Providence/Stoughton,20361
2023-05-18,Fairmount,3068
2023-05-18,Fitchburg,5379
2023-05-18,Framingham/Worcester,14530
2023-05-18,Franklin/Foxboro,9022
2023-05-18,Greenbush,4552
2023-05-18,Haverhill,5504
2023-05-18,Kingston,5678
2023-05-18,Lowell,6587
2023-05-18,Middleborough/Lakeville,6480
2023-05-18,Needham,6831
2023-05-18,Newburyport/Rockport,9426
2023-05-18,Providence/Stoughton,20576
2023-05-19,Fairmount,2947
2023-05-19,Fitchburg,4992
2023-05-19,Framingham/Worcester,14283
2023-05-19,Franklin/Foxboro,8901
2023-05-19,Greenbush,3919
2023-05-19,Haverhill,5768
2023-05-19,Kingston,4820
2023-05-19,Lowell,6849
2023-05-19,Middleborough/Lakeville,5562
2023-05-19,Needham,6154
2023-05-19,Newburyport/Rockport,9419
2023-05-19,Providence/Stoughton,17674
2023-05-20,Fairmount,864
2023-05-20,Fitchburg,1782
2023-05-20,Framingham/Worcester,6504
2023-05-20,Franklin/Foxboro,1438
2023-05-20,Greenbush,420
2023-05-20,Haverhill,785
2023-05-20,Kingston,503
2023-05-20,Lowell,2802
2023-05-20,Middleborough/Lakeville,1735
2023-05-20,Needham,664
2023-05-20,Newburyport/Rockport,5007
2023-05-20,Providence/Stoughton,5688
2023-05-21,Fairmount,525
2023-05-21,Fitchburg,1245
2023-05-21,Framingham/Worcester,4046
2023-05-21,Franklin/Foxboro,1558
2023-05-21,Greenbush,440
2023-05-21,Haverhill,872
2023-05-21,Kingston,658
2023-05-21,Lowell,2303
2023-05-21,Middleborough/Lakeville,1661
2023-05-21,Needham,492
2023-05-21,Newburyport/Rockport,4702
2023-05-21,Providence/Stoughton,6094
2023-05-22,Fairmount,2828
2023-05-22,Fitchburg,4574
2023-05-22,Framingham/Worcester,12908
2023-05-22,Franklin/Foxboro,8761
2023-05-22,Greenbush,4303
2023-05-22,Haverhill,6025
2023-05-22,Kingston,5570
2023-05-22,Lowell,6096
2023-05-22,Middleborough/Lakeville,6367
2023-05-22,Needham,4278
2023-05-22,Newburyport/Rockport,9090
2023-05-22,Providence/Stoughton,16991
2023-05-23,Fairmount,2925
2023-05-23,Fitchburg,5429
2023-05-23,Framingham/Worcester,13572
2023-05-23,Franklin/Foxboro,9817
2023-05-23,Greenbush,5614
2023-05-23,Haverhill,6383
2023-05-23,Kingston,5547
2023-05-23,Lowell,6717
2023-05-23,Middleborough/Lakeville,6856
2023-05-23,Needham,5650
2023-05-23,Newburyport/Rockport,9845
2023-05-23,Providence/Stoughton,19454
2023-05-24,Fairmount,2883
2023-05-24,Fitchburg,5489
2023-05-24,Framingham/Worcester,12914
2023-05-24,Franklin/Foxboro,9687
2023-05-24,Greenbush,4773
2023-05-24,Haverhill,6456
2023-05-24,Kingston,5724
2023-05-24,Lowell,6780
2023-05-24,Middleborough/Lakeville,6732
2023-05-24,Needham,6848
2023-05-24,Newburyport/Rockport,9733
2023-05-24,Providence/Stoughton,19635
2023-05-25,Fairmount,2772
2023-05-25,Fitchburg,5687
2023-05-25,Framingham/Worcester,12741
2023-05-25,Franklin/Foxboro,8665
2023-05-25,Greenbush,4472
2023-05-25,Haverhill,5965
2023-05-25,Kingston,6467
2023-05-25,Lowell,7112
2023-05-25,Middleborough/Lakeville,6764
2023-05-25,Needham,6841
2023-05-25,Newburyport/Rockport,9367
2023-05-25,Providence/Stoughton,19608
2023-05-26,Fairmount,2772
2023-05-26,Fitchburg,4607
2023-05-26,Framingham/Worcester,11759
2023-05-26,Franklin/Foxboro,7630
2023-05-26,Greenbush,3818
2023-05-26,Haverhill,5570
2023-05-26,Kingston,4477
2023-05-26,Lowell,5298
2023-05-26,Middleborough/Lakeville,5873
2023-05-26,Needham,4202
2023-05-26,Newburyport/Rockport,9638
2023-05-26,Providence/Stoughton,16197
2023-05-27,Fairmount,985
2023-05-27,Fitchburg,2417
2023-05-27,Framingham/Worcester,5835
2023-05-27,Franklin/Foxboro,1663
2023-05-27,Greenbush,1137
2023-05-27,Haverhill,1929
2023-05-27,Kingston,877
2023-05-27,Lowell,2828
2023-05-27,Middleborough/Lakeville,1382
2023-05-27,Needham,894
2023-05-27,Newburyport/Rockport,7354
2023-05-27,Providence/Stoughton,7392
2023-05-28,Fairmount,695
2023-05-28,Fitchburg,2087
2023-05-28,Framingham/Worcester,4886
2023-05-28,Franklin/Foxboro,1585
2023-05-28,Greenbush,755
2023-05-28,Haverhill,972
2023-05-28,Kingston,679
2023-05-28,Lowell,2307
2023-05-28,Middleborough/Lakeville,2067
2023-05-28,Needham,576
2023-05-28,Newburyport/Rockport,6477
2023-05-28,Providence/Stoughton,6370
2023-05-29,Fairmount,660
2023-05-29,Fitchburg,2215
2023-05-29,Framingham/Worcester,5078
2023-05-29,Franklin/Foxboro,1617
2023-05-29,Greenbush,833
2023-05-29,Haverhill,1074
2023-05-29,Kingston,840
2023-05-29,Lowell,2531
2023-05-29,Middleborough/Lakeville,2069
2023-05-29,Needham,638
2023-05-29,Newburyport/Rockport,6685
2023-05-29,Providence/Stoughton,6423
2023-05-30,Fairmount,3044
2023-05-30,Fitchburg,5282
2023-05-30,Framingham/Worcester,13028
2023-05-30,Franklin/Foxboro,8475
2023-05-30,Greenbush,5244
2023-05-30,Haverhill,6037
2023-05-30,Kingston,5255
2023-05-30,Lowell,7056
2023-05-30,Middleborough/Lakeville,6267
2023-05-30,Needham,6259
2023-05-30,Newburyport/Rockport,9595
2023-05-30,Providence/Stoughton,18942
2023-05-31,Fairmount,3247
2023-05-31,Fitchburg,5940
2023-05-31,Framingham/Worcester,14908
2023-05-31,Franklin/Foxboro,9292
2023-05-31,Greenbush,5371
2023-05-31,Haverhill,5945
2023-05-31,Kingston,4499
2023-05-31,Lowell,6476
2023-05-31,Middleborough/Lakeville,6105
2023-05-31,Needham,6237
2023-05-31,Newburyport/Rockport,9573
2023-05-31,Providence/Stoughton,19633
2023-06-01,Fairmount,3020
2023-06-01,Fitchburg,5427
2023-06-01,Framingham/Worcester,13979
2023-06-01,Franklin/Foxboro,9170
2023-06-01,Greenbush,5077
2023-06-01,Haverhill,5767
2023-06-01,Kingston,6199
2023-06-01,Lowell,7175
2023-06-01,Middleborough/Lakeville,6708
2023-06-01,Needham,6490
2023-06-01,Newburyport/Rockport,10293
2023-06-01,Providence/Stoughton,19242
2023-06-02,Fairmount,2982
2023-06-02,Fitchburg,4947
2023-06-02,Framingham/Worcester,12666
2023-06-02,Franklin/Foxboro,7335
2023-06-02,Greenbush,4075
2023-06-02,Haverhill,5896
2023-06-02,Kingston,5817
2023-06-02,Lowell,6460
2023-06-02,Middleborough/Lakeville,6634
2023-06-02,Needham,6246
2023-06-02,Newburyport/Rockport,9310
2023-06-02,Providence/Stoughton,17191
2023-06-03,Fairmount,1011
2023-06-03,Fitchburg,2092
2023-06-03,Framingham/Worcester,6468
2023-06-03,Franklin/Foxboro,2033
2023-06-03,Greenbush,784
2023-06-03,Haverhill,1907
2023-06-03,Kingston,1019
2023-06-03,Lowell,2301
2023-06-03,Middleborough/Lakeville,2461
2023-06-03,Needham,888
2023-06-03,Newburyport/Rockport,6599
2023-06-03,Providence/Stoughton,6882
2023-06-04,Fairmount,589
2023-06-04,Fitchburg,2058
2023-06-04,Framingham/Worcester,3578
2023-06-04,Franklin/Foxboro,1516
2023-06-04,Greenbush,585
2023-06-04,Haverhill,1014
2023-06-04,Kingston,766
2023-06-04,Lowell,1804
2023-06-04,Middleborough/Lakeville,1813
2023-06-04,Needham,613
2023-06-04,Newburyport/Rockport,4182
2023-06-04,Providence/Stoughton,6025
2023-06-05,Fairmount,3056
2023-06-05,Fitchburg,4785
2023-06-05,Framingham/Worcester,13808
2023-06-05,Franklin/Foxboro,7791
2023-06-05,Greenbush,3908
2023-06-05,Haverhill,5910
2023-06-05,Kingston,5361
2023-06-05,Lowell,6486
2023-06-05,Middleborough/Lakeville,5705
2023-06-05,Needham,5483
2023-06-05,Newburyport/Rockport,9505
2023-06-05,Providence/Stoughton,17776
2023-06-06,Fairmount,3235
2023-06-06,Fitchburg,5401
2023-06-06,Framingham/Worcester,15653
2023-06-06,Franklin/Foxboro,8518
2023-06-06,Greenbush,4913
2023-06-06,Haverhill,6239
2023-06-06,Kingston,6197
2023-06-06,Lowell,6937
2023-06-06,Middleborough/Lakeville,6275
2023-06-06,Needham,6911
2023-06-06,Newburyport/Rockport,10303
2023-06-06,Providence/Stoughton,20409
2023-06-07,Fairmount,3201
2023-06-07,Fitchburg,5264
2023-06-07,Framingham/Worcester,15597
2023-06-07,Franklin/Foxboro,8894
2023-06-07,Greenbush,5065
2023-06-07,Haverhill,6312
2023-06-07,Kingston,6256
2023-06-07,Lowell,6124
2023-06-07,Middleborough/Lakeville,6437
2023-06-07,Needham,7320
2023-06-07,Newburyport/Rockport,9298
2023-06-07,Providence/Stoughton,19077
2023-06-08,Fairmount,3112
2023-06-08,Fitchburg,5677
2023-06-08,Framingham/Worcester,14630
2023-06-08,Franklin/Foxboro,8573
2023-06-08,Greenbush,4601
2023-06-08,Haverhill,6154
2023-06-08,Kingston,6065
2023-06-08,Lowell,6995
2023-06-08,Middleborough/Lakeville,6266
2023-06-08,Needham,5410
2023-06-08,Newburyport/Rockport,9308
2023-06-08,Providence/Stoughton,19715
2023-06-09,Fairmount,2688
2023-06-09,Fitchburg,4755
2023-06-09,Framingham/Worcester,13365
2023-06-09,Franklin/Foxboro,7238
2023-06-09,Greenbush,3316
2023-06-09,Haverhill,5438
2023-06-09,Kingston,4437
2023-06-09,Lowell,5938
2023-06-09,Middleborough/Lakeville,6427
2023-06-09,Needham,3622
2023-06-09,Newburyport/Rockport,8373
2023-06-09,Providence/Stoughton,17647
2023-06-10,Fairmount,796
2023-06-10,Fitchburg,2305
2023-06-10,Framingham/Worcester,6924
2023-06-10,Franklin/Foxboro,3270
2023-06-10,Greenbush,797
2023-06-10,Haverhill,2809
2023-06-10,Kingston,1187
2023-06-10,Lowell,2874
2023-06-10,Middleborough/Lakeville,1881
2023-06-10,Needham,966
2023-06-10,Newburyport/Rockport,7197
2023-06-10,Providence/Stoughton,8365
2023-06-11,Fairmount,600
2023-06-11,Fitchburg,1983
2023-06-11,Framingham/Worcester,4493
2023-06-11,Franklin/Foxboro,1494
2023-06-11,Greenbush,710
2023-06-11,Haverhill,1297
2023-06-11,Kingston,634
2023-06-11,Lowell,1732
2023-06-11,Middleborough/Lakeville,1719
2023-06-11,Needham,742
2023-06-11,Newburyport/Rockport,5060
2023-06-11,Providence/Stoughton,7288
2023-06-12,Fairmount,2630
2023-06-12,Fitchburg,5104
2023-06-12,Framingham/Worcester,14067
2023-06-12,Franklin/Foxboro,8354
2023-06-12,Greenbush,4306
2023-06-12,Haverhill,6438
2023-06-12,Kingston,5934
2023-06-12,Lowell,6532
2023-06-12,Middleborough/Lakeville,5852
2023-06-12,Needham,6240
2023-06-12,Newburyport/Rockport,9558
2023-06-12,Providence/Stoughton,18287
2023-06-13,Fairmount,2885
2023-06-13,Fitchburg,5422
2023-06-13,Framingham/Worcester,14647
2023-06-13,Franklin/Foxboro,9279
2023-06-13,Greenbush,4492
2023-06-13,Haverhill,6271
2023-06-13,Kingston,6429
2023-06-13,Lowell,7170
2023-06-13,Middleborough/Lakeville,6609
2023-06-13,Needham,7065
2023-06-13,Newburyport/Rockport,10568
2023-06-13,Providence/Stoughton,20239
2023-06-14,Fairmount,2824
2023-06-14,Fitchburg,5425
2023-06-14,Framingham/Worcester,14849
2023-06-14,Franklin/Foxboro,9563
2023-06-14,Greenbush,4830
2023-06-14,Haverhill,5963
2023-06-14,Kingston,5915
2023-06-14,Lowell,6925
2023-06-14,Middleborough/Lakeville,6499
2023-06-14,Needham,6976
2023-06-14,Newburyport/Rockport,10123
2023-06-14,Providence/Stoughton,19746
2023-06-15,Fairmount,3056
2023-06-15,Fitchburg,5157
2023-06-15,Framingham/Worcester,14168
2023-06-15,Franklin/Foxboro,8985
2023-06-15,Greenbush,5228
2023-06-15,Haverhill,6577
2023-06-15,Kingston,5613
2023-06-15,Lowell,6803
2023-06-15,Middleborough/Lakeville,6275
2023-06-15,Needham,6951
2023-06-15,Newburyport/Rockport,9317
2023-06-15,Providence/Stoughton,20229
2023-06-16,Fairmount,2567
2023-06-16,Fitchburg,5113
2023-06-16,Framingham/Worcester,12793
2023-06-16,Franklin/Foxboro,7306
2023-06-16,Greenbush,3541
2023-06-16,Haverhill,5902
2023-06-16,Kingston,3996
2023-06-16,Lowell,6178
2023-06-16,Middleborough/Lakeville,6134
2023-06-16,Needham,5540
2023-06-16,Newburyport/Rockport,9030
2023-06-16,Providence/Stoughton,17983
2023-06-17,Fairmount,713
2023-06-17,Fitchburg,2032
2023-06-17,Framingham/Worcester,5810
2023-06-17,Franklin/Foxboro,1440
2023-06-17,Greenbush,915
2023-06-17,Haverhill,2217
2023-06-17,Kingston,803
2023-06-17,Lowell,1944
2023-06-17,Middleborough/Lakeville,1891
2023-06-17,Needham,1118
2023-06-17,Newburyport/Rockport,6344
2023-06-17,Providence/Stoughton,6824
2023-06-18,Fairmount,588
2023-06-18,Fitchburg,1822
2023-06-18,Framingham/Worcester,4783
2023-06-18,Franklin/Foxboro,1171
2023-06-18,Greenbush,813
2023-06-18,Haverhill,1164
2023-06-18,Kingston,534
2023-06-18,Lowell,1641
2023-06-18,Middleborough/Lakeville,1991
2023-06-18,Needham,872
2023-06-18,Newburyport/Rockport,4996
2023-06-18,Providence/Stoughton,6000
2023-06-19,Fairmount,2112
2023-06-19,Fitchburg,3627
2023-06-19,Framingham/Worcester,8589
2023-06-19,Franklin/Foxboro,4366
2023-06-19,Greenbush,2735
2023-06-19,Haverhill,4118
2023-06-19,Kingston,3908
2023-06-19,Lowell,4384
2023-06-19,Middleborough/Lakeville,4073
2023-06-19,Needham,3762
2023-06-19,Newburyport/Rockport,7486
2023-06-19,Providence/Stoughton,12432
2023-06-20,Fairmount,3000
2023-06-20,Fitchburg,5476
2023-06-20,Framingham/Worcester,11803
2023-06-20,Franklin/Foxboro,8768
2023-06-20,Greenbush,4451
2023-06-20,Haverhill,6881
2023-06-20,Kingston,5808
2023-06-20,Lowell,6639
2023-06-20,Middleborough/Lakeville,6707
2023-06-20,Needham,5936
2023-06-20,Newburyport/Rockport,10436
2023-06-20,Providence/Stoughton,19084
2023-06-21,Fairmount,2869
2023-06-21,Fitchburg,6558
2023-06-21,Framingham/Worcester,14066
2023-06-21,Franklin/Foxboro,7904
2023-06-21,Greenbush,4785
2023-06-21,Haverhill,6388
2023-06-21,Kingston,6237
2023-06-21,Lowell,6556
2023-06-21,Middleborough/Lakeville,6872
2023-06-21,Needham,5766
2023-06-21,Newburyport/Rockport,10470
2023-06-21,Providence/Stoughton,19033
2023-06-22,Fairmount,2571
2023-06-22,Fitchburg,5362
2023-06-22,Framingham/Worcester,14024
2023-06-22,Franklin/Foxboro,8914
2023-06-22,Greenbush,4615
2023-06-22,Haverhill,5858
2023-06-22,Kingston,5340
2023-06-22,Lowell,6796
2023-06-22,Middleborough/Lakeville,6313
2023-06-22,Needham,6023
2023-06-22,Newburyport/Rockport,10413
2023-06-22,Providence/Stoughton,17768
2023-06-23,Fairmount,2510
2023-06-23,Fitchburg,4498
2023-06-23,Framingham/Worcester,11285
2023-06-23,Franklin/Foxboro,7187
2023-06-23,Greenbush,3812
2023-06-23,Haverhill,5294
2023-06-23,Kingston,4397
2023-06-23,Lowell,5699
2023-06-23,Middleborough/Lakeville,5779
2023-06-23,Needham,4761
2023-06-23,Newburyport/Rockport,9381
2023-06-23,Providence/Stoughton,15526
2023-06-24,Fairmount,666
2023-06-24,Fitchburg,2134
2023-06-24,Framingham/Worcester,6314
2023-06-24,Franklin/Foxboro,1600
2023-06-24,Greenbush,936
2023-06-24,Haverhill,1907
2023-06-24,Kingston,776
2023-06-24,Lowell,2006
2023-06-24,Middleborough/Lakeville,1974
2023-06-24,Needham,1224
2023-06-24,Newburyport/Rockport,5586
2023-06-24,Providence/Stoughton,5775
2023-06-25,Fairmount,615
2023-06-25,Fitchburg,1911
2023-06-25,Framingham/Worcester,5935
2023-06-25,Franklin/Foxboro,1073
2023-06-25,Greenbush,841
2023-06-25,Haverhill,1027
2023-06-25,Kingston,695
2023-06-25,Lowell,1687
2023-06-25,Middleborough/Lakeville,2053
2023-06-25,Needham,1079
2023-06-25,Newburyport/Rockport,4631
2023-06-25,Providence/Stoughton,6682
2023-06-26,Fairmount,2792
2023-06-26,Fitchburg,5207
2023-06-26,Framingham/Worcester,14722
2023-06-26,Franklin/Foxboro,7294
2023-06-26,Greenbush,4416
2023-06-26,Haverhill,6419
2023-06-26,Kingston,5523
2023-06-26,Lowell,6670
2023-06-26,Middleborough/Lakeville,5947
2023-06-26,Needham,5166
2023-06-26,Newburyport/Rockport,9802
2023-06-26,Providence/Stoughton,19213
2023-06-27,Fairmount,2753
2023-06-27,Fitchburg,5613
2023-06-27,Framingham/Worcester,15563
2023-06-27,Franklin/Foxboro,9117
2023-06-27,Greenbush,5065
2023-06-27,Haverhill,6510
2023-06-27,Kingston,5737
2023-06-27,Lowell,6828
2023-06-27,Middleborough/Lakeville,6613
2023-06-27,Needham,6140
2023-06-27,Newburyport/Rockport,9835
2023-06-27,Providence/Stoughton,20203
2023-06-28,Fairmount,2595
2023-06-28,Fitchburg,5455
2023-06-28,Framingham/Worcester,14599
2023-06-28,Franklin/Foxboro,7918
2023-06-28,Greenbush,5226
2023-06-28,Haverhill,6357
2023-06-28,Kingston,6068
2023-06-28,Lowell,6127
2023-06-28,Middleborough/Lakeville,6529
2023-06-28,Needham,5503
2023-06-28,Newburyport/Rockport,10931
2023-06-28,Providence/Stoughton,20430
2023-06-29,Fairmount,2771
2023-06-29,Fitchburg,5814
2023-06-29,Framingham/Worcester,15001
2023-06-29,Franklin/Foxboro,8214
2023-06-29,Greenbush,4836
