servicedate,line,estimated_boardings
2020-07-29,Framingham/Worcester,1470
2020-07-29,Franklin/Foxboro,1343
2020-07-29,Greenbush,329
2020-07-29,Haverhill,666
2020-07-29,Kingston,708
2020-07-29,Lowell,926
2020-07-29,Middleborough/Lakeville,994
2020-07-29,Needham,551
2020-07-29,Newburyport/Rockport,1560
2020-07-29,Providence/Stoughton,2640
2020-07-30,Fairmount,419
2020-07-30,Fitchburg,563
2020-07-30,Framingham/Worcester,1443
2020-07-30,Franklin/Foxboro,1434
2020-07-30,Greenbush,385
2020-07-30,Haverhill,630
2020-07-30,Kingston,758
2020-07-30,Lowell,878
2020-07-30,Middleborough/Lakeville,1068
2020-07-30,Needham,623
2020-07-30,Newburyport/Rockport,1419
2020-07-30,Providence/Stoughton,2650
2020-07-31,Fairmount,387
2020-07-31,Fitchburg,605
2020-07-31,Framingham/Worcester,1394
2020-07-31,Franklin/Foxboro,1387
2020-07-31,Greenbush,301
2020-07-31,Haverhill,611
2020-07-31,Kingston,683
2020-07-31,Lowell,844
2020-07-31,Middleborough/Lakeville,932
2020-07-31,Needham,587
2020-07-31,Newburyport/Rockport,1349
2020-07-31,Providence/Stoughton,2957
2020-08-03,Fairmount,371
2020-08-03,Fitchburg,617
2020-08-03,Framingham/Worcester,1496
2020-08-03,Franklin/Foxboro,1453
2020-08-03,Greenbush,353
2020-08-03,Haverhill,640
2020-08-03,Kingston,656
2020-08-03,Lowell,921
2020-08-03,Middleborough/Lakeville,925
2020-08-03,Needham,659
2020-08-03,Newburyport/Rockport,1441
2020-08-03,Providence/Stoughton,3028
2020-08-04,Fairmount,414
2020-08-04,Fitchburg,572
2020-08-04,Framingham/Worcester,1498
2020-08-04,Franklin/Foxboro,1371
2020-08-04,Greenbush,336
2020-08-04,Haverhill,697
2020-08-04,Kingston,701
2020-08-04,Lowell,848
2020-08-04,Middleborough/Lakeville,939
2020-08-04,Needham,658
2020-08-04,Newburyport/Rockport,1472
2020-08-04,Providence/Stoughton,2938
2020-08-05,Fairmount,470
2020-08-05,Fitchburg,692
2020-08-05,Framingham/Worcester,1292
2020-08-05,Franklin/Foxboro,1393
2020-08-05,Greenbush,311
2020-08-05,Haverhill,703
2020-08-05,Kingston,730
2020-08-05,Lowell,832
2020-08-05,Middleborough/Lakeville,955
2020-08-05,Needham,657
2020-08-05,Newburyport/Rockport,1543
2020-08-05,Providence/Stoughton,2866
2020-08-06,Fairmount,412
2020-08-06,Fitchburg,789
2020-08-06,Framingham/Worcester,1474
2020-08-06,Franklin/Foxboro,1400
2020-08-06,Greenbush,324
2020-08-06,Haverhill,794
2020-08-06,Kingston,693
2020-08-06,Lowell,972
2020-08-06,Middleborough/Lakeville,767
2020-08-06,Needham,664
2020-08-06,Newburyport/Rockport,1550
2020-08-06,Providence/Stoughton,3275
2020-08-07,Fairmount,427
2020-08-07,Fitchburg,559
2020-08-07,Framingham/Worcester,1637
2020-08-07,Franklin/Foxboro,1320
2020-08-07,Greenbush,333
2020-08-07,Haverhill,732
2020-08-07,Kingston,594
2020-08-07,Lowell,805
2020-08-07,Middleborough/Lakeville,938
2020-08-07,Needham,652
2020-08-07,Newburyport/Rockport,1721
2020-08-07,Providence/Stoughton,3303
2020-08-10,Fairmount,479
2020-08-10,Fitchburg,576
2020-08-10,Framingham/Worcester,1410
2020-08-10,Franklin/Foxboro,1417
2020-08-10,Greenbush,329
2020-08-10,Haverhill,683
2020-08-10,Kingston,632
2020-08-10,Lowell,934
2020-08-10,Middleborough/Lakeville,848
2020-08-10,Needham,725
2020-08-10,Newburyport/Rockport,1648
2020-08-10,Providence/Stoughton,3222
2020-08-11,Fairmount,503
2020-08-11,Fitchburg,689
2020-08-11,Framingham/Worcester,1260
2020-08-11,Franklin/Foxboro,1546
2020-08-11,Greenbush,348
2020-08-11,Haverhill,687
2020-08-11,Kingston,704
2020-08-11,Lowell,924
2020-08-11,Middleborough/Lakeville,919
2020-08-11,Needham,1041
2020-08-11,Newburyport/Rockport,1636
2020-08-11,Providence/Stoughton,3221
2020-08-12,Fairmount,564
2020-08-12,Fitchburg,696
2020-08-12,Framingham/Worcester,1444
2020-08-12,Franklin/Foxboro,1526
2020-08-12,Greenbush,344
2020-08-12,Haverhill,688
2020-08-12,Kingston,698
2020-08-12,Lowell,1149
2020-08-12,Middleborough/Lakeville,949
2020-08-12,Needham,1111
2020-08-12,Newburyport/Rockport,1910
2020-08-12,Providence/Stoughton,3253
2020-08-13,Fairmount,491
2020-08-13,Fitchburg,705
2020-08-13,Framingham/Worcester,1322
2020-08-13,Franklin/Foxboro,1261
2020-08-13,Greenbush,439
2020-08-13,Haverhill,1107
2020-08-13,Kingston,698
2020-08-13,Lowell,1109
2020-08-13,Middleborough/Lakeville,935
2020-08-13,Needham,806
2020-08-13,Newburyport/Rockport,2088
2020-08-13,Providence/Stoughton,3096
2020-08-14,Fairmount,475
2020-08-14,Fitchburg,716
2020-08-14,Framingham/Worcester,1329
2020-08-14,Franklin/Foxboro,1385
2020-08-14,Greenbush,378
2020-08-14,Haverhill,892
2020-08-14,Kingston,676
2020-08-14,Lowell,859
2020-08-14,Middleborough/Lakeville,984
2020-08-14,Needham,945
2020-08-14,Newburyport/Rockport,1865
2020-08-14,Providence/Stoughton,3167
2020-08-17,Fairmount,488
2020-08-17,Fitchburg,702
2020-08-17,Framingham/Worcester,1330
2020-08-17,Franklin/Foxboro,1271
2020-08-17,Greenbush,406
2020-08-17,Haverhill,703
2020-08-17,Kingston,662
2020-08-17,Lowell,935
2020-08-17,Middleborough/Lakeville,903
2020-08-17,Needham,745
2020-08-17,Newburyport/Rockport,1720
2020-08-17,Providence/Stoughton,3295
2020-08-18,Fairmount,445
2020-08-18,Fitchburg,711
2020-08-18,Framingham/Worcester,1259
2020-08-18,Franklin/Foxboro,1409
2020-08-18,Greenbush,339
2020-08-18,Haverhill,690
2020-08-18,Kingston,781
2020-08-18,Lowell,894
2020-08-18,Middleborough/Lakeville,971
2020-08-18,Needham,941
2020-08-18,Newburyport/Rockport,1780
2020-08-18,Providence/Stoughton,3166
2020-08-19,Fairmount,465
2020-08-19,Fitchburg,695
2020-08-19,Framingham/Worcester,1439
2020-08-19,Franklin/Foxboro,1394
2020-08-19,Greenbush,370
2020-08-19,Haverhill,641
2020-08-19,Kingston,666
2020-08-19,Lowell,869
2020-08-19,Middleborough/Lakeville,1219
2020-08-19,Needham,920
2020-08-19,Newburyport/Rockport,1742
2020-08-19,Providence/Stoughton,3207
2020-08-20,Fairmount,413
